datetime,day of week,product,quantity
2019-07-11 15:35,Thur,angbutter,1.0
2019-07-11 15:35,Thur,tiramisu croissant,3.0
2019-07-11 15:35,Thur,vanila latte,1.0
2019-07-11 15:35,Thur,americano,1.0
2019-07-11 16:10,Thur,tiramisu croissant,1.0
2019-07-11 16:10,Thur,orange pound,1.0
2019-07-11 16:10,Thur,angbutter,1.0
2019-07-12 11:49,Fri,tiramisu croissant,14.0
2019-07-13 13:19,Sat,angbutter,1.0
2019-07-13 13:19,Sat,vanila latte,1.0
2019-07-13 13:19,Sat,plain bread,1.0
2019-07-13 13:22,Sat,tiramisu croissant,1.0
2019-07-13 13:22,Sat,angbutter,2.0
2019-07-13 14:54,Sat,milk tea,1.0
2019-07-13 14:54,Sat,angbutter,1.0
2019-07-13 14:54,Sat,vanila latte,1.0
2019-07-13 15:08,Sat,angbutter,1.0
2019-07-13 15:08,Sat,orange pound,1.0
2019-07-13 15:08,Sat,vanila latte,1.0
2019-07-13 15:09,Sat,cacao deep,1.0
2019-07-13 15:09,Sat,tiramisu croissant,2.0
2019-07-13 15:23,Sat,tiramisu croissant,1.0
2019-07-13 15:23,Sat,plain bread,1.0
2019-07-13 15:23,Sat,angbutter,2.0
2019-07-13 16:32,Sat,plain bread,1.0
2019-07-13 16:32,Sat,angbutter,1.0
2019-07-13 16:32,Sat,cacao deep,1.0
2019-07-13 16:32,Sat,tiramisu croissant,1.0
2019-07-14 11:08,Sun,angbutter,1.0
2019-07-14 11:08,Sun,vanila latte,1.0
2019-07-14 11:08,Sun,tiramisu croissant,1.0
2019-07-14 11:15,Sun,angbutter,2.0
2019-07-14 11:15,Sun,americano,3.0
2019-07-14 11:15,Sun,tiramisu croissant,1.0
2019-07-14 11:44,Sun,cacao deep,2.0
2019-07-14 11:44,Sun,tiramisu croissant,2.0
2019-07-14 11:44,Sun,angbutter,1.0
2019-07-14 11:44,Sun,vanila latte,1.0
2019-07-14 11:59,Sun,tiramisu croissant,1.0
2019-07-14 11:59,Sun,angbutter,1.0
2019-07-14 11:59,Sun,orange pound,1.0
2019-07-14 11:59,Sun,vanila latte,1.0
2019-07-14 12:59,Sun,cacao deep,1.0
2019-07-14 12:59,Sun,orange pound,1.0
2019-07-14 12:59,Sun,angbutter,1.0
2019-07-14 13:05,Sun,tiramisu croissant,1.0
2019-07-14 13:05,Sun,angbutter,2.0
2019-07-14 14:06,Sun,tiramisu croissant,1.0
2019-07-14 14:06,Sun,cacao deep,1.0
2019-07-14 14:06,Sun,orange pound,1.0
2019-07-14 14:06,Sun,angbutter,2.0
2019-07-14 14:41,Sun,tiramisu croissant,1.0
2019-07-14 14:41,Sun,vanila latte,1.0
2019-07-14 14:41,Sun,angbutter,2.0
2019-07-14 14:51,Sun,angbutter,2.0
2019-07-14 14:51,Sun,caffe latte,1.0
2019-07-14 14:51,Sun,jam,1.0
2019-07-14 14:51,Sun,orange pound,1.0
2019-07-14 15:02,Sun,tiramisu croissant,1.0
2019-07-14 15:02,Sun,vanila latte,1.0
2019-07-14 15:02,Sun,orange pound,1.0
2019-07-14 15:02,Sun,angbutter,1.0
2019-07-15 11:45,Mon,angbutter,2.0
2019-07-15 11:45,Mon,cacao deep,1.0
2019-07-15 16:21,Mon,lemon ade,1.0
2019-07-15 16:21,Mon,tiramisu croissant,1.0
2019-07-15 16:21,Mon,angbutter,1.0
2019-07-17 11:47,Wed,tiramisu croissant,1.0
2019-07-17 11:47,Wed,plain bread,1.0
2019-07-17 11:47,Wed,angbutter,1.0
2019-07-17 13:23,Wed,croissant,1.0
2019-07-17 13:23,Wed,angbutter,3.0
2019-07-17 13:23,Wed,pain au chocolat,1.0
2019-07-17 14:16,Wed,orange pound,1.0
2019-07-17 14:16,Wed,angbutter,1.0
2019-07-17 14:16,Wed,jam,2.0
2019-07-17 14:16,Wed,gateau chocolat,1.0
2019-07-17 16:32,Wed,berry ade,1.0
2019-07-17 16:32,Wed,angbutter,1.0
2019-07-17 16:32,Wed,plain bread,1.0
2019-07-19 11:43,Fri,angbutter,1.0
2019-07-19 11:43,Fri,croissant,1.0
2019-07-19 11:43,Fri,pain au chocolat,1.0
2019-07-19 11:43,Fri,tiramisu croissant,1.0
2019-07-19 12:11,Fri,orange pound,1.0
2019-07-19 12:11,Fri,berry ade,1.0
2019-07-19 12:11,Fri,angbutter,1.0
2019-07-19 12:36,Fri,tiramisu croissant,2.0
2019-07-19 12:36,Fri,croissant,1.0
2019-07-19 12:36,Fri,angbutter,1.0
2019-07-19 12:36,Fri,pain au chocolat,1.0
2019-07-19 12:44,Fri,orange pound,1.0
2019-07-19 12:44,Fri,tiramisu croissant,1.0
2019-07-19 12:44,Fri,angbutter,2.0
2019-07-19 13:35,Fri,croissant,1.0
2019-07-19 13:35,Fri,angbutter,1.0
2019-07-19 13:35,Fri,tiramisu croissant,1.0
2019-07-19 13:50,Fri,angbutter,2.0
2019-07-19 13:50,Fri,pain au chocolat,1.0
2019-07-19 14:12,Fri,croissant,16.0
2019-07-19 15:33,Fri,croissant,3.0
2019-07-19 15:33,Fri,tiramisu croissant,2.0
2019-07-19 15:33,Fri,angbutter,3.0
2019-07-20 11:19,Sat,orange pound,1.0
2019-07-20 11:19,Sat,angbutter,1.0
2019-07-20 11:19,Sat,milk tea,1.0
2019-07-20 11:35,Sat,caffe latte,1.0
2019-07-20 11:35,Sat,americano,1.0
2019-07-20 11:35,Sat,croissant,1.0
2019-07-20 11:35,Sat,angbutter,1.0
2019-07-20 11:40,Sat,angbutter,1.0
2019-07-20 11:40,Sat,tiramisu croissant,1.0
2019-07-20 11:40,Sat,pain au chocolat,1.0
2019-07-20 11:40,Sat,jam,1.0
2019-07-20 11:40,Sat,tiramisu,1.0
2019-07-20 11:40,Sat,gateau chocolat,1.0
2019-07-20 11:44,Sat,angbutter,3.0
2019-07-20 12:08,Sat,pandoro,1.0
2019-07-20 12:08,Sat,angbutter,1.0
2019-07-20 12:08,Sat,tiramisu,1.0
2019-07-20 12:13,Sat,orange pound,1.0
2019-07-20 12:13,Sat,pain au chocolat,1.0
2019-07-20 12:13,Sat,caffe latte,1.0
2019-07-20 12:13,Sat,tiramisu,1.0
2019-07-20 12:13,Sat,wiener,1.0
2019-07-20 12:13,Sat,angbutter,1.0
2019-07-20 12:31,Sat,caffe latte,1.0
2019-07-20 12:31,Sat,angbutter,1.0
2019-07-20 12:31,Sat,pain au chocolat,1.0
2019-07-20 12:55,Sat,tiramisu croissant,1.0
2019-07-20 12:55,Sat,angbutter,1.0
2019-07-20 12:55,Sat,orange pound,1.0
2019-07-20 13:19,Sat,tiramisu croissant,1.0
2019-07-20 13:19,Sat,croissant,2.0
2019-07-20 13:19,Sat,pain au chocolat,2.0
2019-07-20 13:44,Sat,angbutter,2.0
2019-07-20 13:44,Sat,croissant,1.0
2019-07-20 13:44,Sat,pain au chocolat,1.0
2019-07-20 13:56,Sat,angbutter,1.0
2019-07-20 13:56,Sat,americano,1.0
2019-07-20 13:56,Sat,pain au chocolat,1.0
2019-07-20 13:56,Sat,croissant,1.0
2019-07-21 11:07,Sun,croissant,1.0
